"Date","Price","Open","High","Low","Vol.","Change %"
"03-01-2008","7,510.02","7,510.02","7,510.02","7,510.02","","-0.01%"
"02-01-2008","7,511.06","7,511.06","7,511.06","7,511.06","","0.57%"
"01-01-2008","7,468.49","7,468.49","7,468.49","7,468.49","","0.09%"
"31-12-2007","7,461.48","7,461.48","7,461.48","7,461.48","","0.97%"
"28-12-2007","7,389.90","7,389.90","7,389.90","7,389.90","","-0.03%"
"27-12-2007","7,392.06","7,392.06","7,392.06","7,392.06","","0.18%"
"26-12-2007","7,379.02","7,379.02","7,379.02","7,379.02","","1.53%"
"24-12-2007","7,268.18","7,268.18","7,268.18","7,268.18","","3.79%"
"20-12-2007","7,002.72","7,002.72","7,002.72","7,002.72","","0.27%"
"19-12-2007","6,984.11","6,984.11","6,984.11","6,984.11","","0.16%"
"18-12-2007","6,972.75","6,972.75","6,972.75","6,972.75","","-0.60%"
"17-12-2007","7,014.87","7,014.87","7,014.87","7,014.87","","-4.48%"
"14-12-2007","7,343.61","7,343.61","7,343.61","7,343.61","","-0.17%"
"13-12-2007","7,356.20","7,356.20","7,356.20","7,356.20","","-1.64%"
"12-12-2007","7,479.08","7,479.08","7,479.08","7,479.08","","1.02%"
"11-12-2007","7,403.77","7,403.77","7,403.77","7,403.77","","2.29%"
"10-12-2007","7,237.85","7,237.85","7,237.85","7,237.85","","-0.23%"
"07-12-2007","7,254.45","7,254.45","7,254.45","7,254.45","","0.33%"
"06-12-2007","7,230.63","7,230.63","7,230.63","7,230.63","","0.25%"
"05-12-2007","7,212.82","7,212.82","7,212.82","7,212.82","","1.39%"
"04-12-2007","7,113.64","7,113.64","7,113.64","7,113.64","","-0.11%"
"03-12-2007","7,121.74","7,121.74","7,121.74","7,121.74","","1.77%"
"30-11-2007","6,997.60","6,997.60","6,997.60","6,997.60","","2.28%"
"29-11-2007","6,841.75","6,841.75","6,841.75","6,841.75","","0.30%"
"28-11-2007","6,821.04","6,821.04","6,821.04","6,821.04","","-1.41%"
"27-11-2007","6,918.92","6,918.92","6,918.92","6,918.92","","-0.58%"
"26-11-2007","6,959.61","6,959.61","6,959.61","6,959.61","","2.19%"
"23-11-2007","6,810.16","6,810.16","6,810.16","6,810.16","","1.62%"
