date,market
09/12/2004,4040.2
10/12/2004,4015.2
13/12/2004,4029.35
14/12/2004,4075.55
15/12/2004,4105.85
16/12/2004,4154.05
17/12/2004,4164.05
20/12/2004,4200.05
21/12/2004,4244.15
22/12/2004,4244.05
23/12/2004,4337.25
24/12/2004,4341
27/12/2004,4384.35
28/12/2004,4438.95
29/12/2004,4400.05
30/12/2004,4372.85
31/12/2004,4453.3
03/01/2005,4508.75
04/01/2005,4532.35
05/01/2005,4374.15
06/01/2005,4279.2
07/01/2005,4327.65
10/01/2005,4291
11/01/2005,4170.15
12/01/2005,4019.65
13/01/2005,4169.9
14/01/2005,4145.65
17/01/2005,4168.6
18/01/2005,4193.15
19/01/2005,4153.7
20/01/2005,4099.7
24/01/2005,4042.85
25/01/2005,4083.2
27/01/2005,4134.05
28/01/2005,4200.7
31/01/2005,4247.8
01/02/2005,4249
02/02/2005,4305.65
03/02/2005,4369
04/02/2005,4368.3
07/02/2005,4350.1
08/02/2005,4330.6
09/02/2005,4361.8
10/02/2005,4379.2
11/02/2005,4382.9
14/02/2005,4391.15
15/02/2005,4367.25
16/02/2005,4350.4
17/02/2005,4320.15
18/02/2005,4318.15
21/02/2005,4262.25
22/02/2005,4326.1
23/02/2005,4346
24/02/2005,4337
25/02/2005,4305.75
28/02/2005,4388.2
01/03/2005,4382.25
02/03/2005,4470
03/03/2005,4515.8
04/03/2005,4549.55
07/03/2005,4618.05
08/03/2005,4666.7
09/03/2005,4623.85
10/03/2005,4648.05
11/03/2005,4621.55
14/03/2005,4581.05
15/03/2005,4554.75
16/03/2005,4545.8
17/03/2005,4486.15
18/03/2005,4454.85
21/03/2005,4454.05
22/03/2005,4328.5
23/03/2005,4208.8
24/03/2005,4202.05
28/03/2005,4233.35
29/03/2005,4146.65
30/03/2005,4192
31/03/2005,4275.15
01/04/2005,4342.85
04/04/2005,4360.2
05/04/2005,4304.7
06/04/2005,4320
07/04/2005,4308.65
08/04/2005,4269.9
11/04/2005,4215.05
12/04/2005,4246.1
13/04/2005,4249.45
15/04/2005,4146.1
18/04/2005,4110.55
19/04/2005,4065.9
20/04/2005,4079.9
21/04/2005,4156.3
22/04/2005,4185.7
25/04/2005,4214.5
26/04/2005,4207.8
27/04/2005,4183.8
28/04/2005,4108.7
29/04/2005,4024.4
02/05/2005,4033.75
03/05/2005,4049.3
04/05/2005,4108.6
05/05/2005,4210.25
06/05/2005,4223.8
09/05/2005,4273.95
10/05/2005,4275.05
11/05/2005,4237.1
12/05/2005,4247.9
13/05/2005,4251.65
16/05/2005,4286
17/05/2005,4243.3
18/05/2005,4225.3
19/05/2005,4246.9
20/05/2005,4234.1
23/05/2005,4266.15
24/05/2005,4283.4
25/05/2005,4298.9
26/05/2005,4277.85
27/05/2005,4314
30/05/2005,4293.15
31/05/2005,4364.55
01/06/2005,4391.4
02/06/2005,4370.95
03/06/2005,4413.05
06/06/2005,4453.35
07/06/2005,4512.35
08/06/2005,4545.8
09/06/2005,4528.35
10/06/2005,4485.55
13/06/2005,4502
14/06/2005,4502.4
15/06/2005,4494.3
16/06/2005,4444.05
17/06/2005,4401.25
20/06/2005,4358.15
21/06/2005,4385.65
22/06/2005,4413.05
23/06/2005,4450.75
24/06/2005,4448.35
27/06/2005,4447.7
28/06/2005,4380.3
29/06/2005,4412.55
30/06/2005,4393.25
01/07/2005,4491.8
04/07/2005,4563.7
05/07/2005,4524.6
06/07/2005,4603.25
07/07/2005,4538.9
08/07/2005,4632.15
11/07/2005,4681.75
12/07/2005,4717.15
13/07/2005,4724.6
14/07/2005,4714
15/07/2005,4735.5
18/07/2005,4803.65
19/07/2005,4832.35
20/07/2005,4851.3
21/07/2005,4816.2
22/07/2005,4889.65
25/07/2005,4919.25
26/07/2005,4929.55
27/07/2005,4950.95
29/07/2005,4919.1
01/08/2005,4949.15
02/08/2005,5004.7
03/08/2005,5011.8
04/08/2005,5049.45
05/08/2005,5080.75
08/08/2005,4974.45
09/08/2005,4967.15
10/08/2005,5067.95
11/08/2005,5080.95
12/08/2005,5085.7
16/08/2005,5081.1
17/08/2005,5122.2
18/08/2005,5089.6
19/08/2005,5068.8
22/08/2005,5003.65
23/08/2005,4897.65
24/08/2005,4837.95
25/08/2005,4868.6
26/08/2005,4972.05
29/08/2005,4942.1
30/08/2005,5018.75
31/08/2005,5053
01/09/2005,5063.7
02/09/2005,5080.95
05/09/2005,5103
06/09/2005,5105.25
08/09/2005,5134.35
09/09/2005,5155.85
12/09/2005,5240.75
13/09/2005,5299.55
14/09/2005,5262.3
15/09/2005,5306.6
16/09/2005,5341.15
19/09/2005,5410.6
20/09/2005,5389.4
21/09/2005,5293.35
22/09/2005,5029.55
23/09/2005,5052.5
26/09/2005,5210.95
27/09/2005,5246.2
28/09/2005,5271.8
29/09/2005,5223.85
30/09/2005,5303.5
03/10/2005,5371.3
04/10/2005,5435.6
05/10/2005,5372.95
06/10/2005,5289.9
07/10/2005,5253.75
10/10/2005,5212
11/10/2005,5245.4
13/10/2005,5180.5
14/10/2005,5069.6
17/10/2005,5018.8
18/10/2005,4986.3
19/10/2005,4859.55
20/10/2005,4743.2
21/10/2005,4801.3
24/10/2005,4761
25/10/2005,4784.35
26/10/2005,4784.35
27/10/2005,4660.8
28/10/2005,4617.9
31/10/2005,4714.45
01/11/2005,4751.25
02/11/2005,4779.95
07/11/2005,4842.9
08/11/2005,4918.1
09/11/2005,4907.6
10/11/2005,4917.95
11/11/2005,4988.25
14/11/2005,5016.7
16/11/2005,5085.05
17/11/2005,5110.8
18/11/2005,5116.4
